SEMUA KATA BERDASARKAN SKOR TF-IDF
==================================================

Total kata unik: 1000

857. hahaha               : 0.3317
858. macan                : 0.3289
859. kini                 : 0.3238
860. kapasitas            : 0.3238
861. influencer           : 0.3225
862. lgi                  : 0.3225
863. karnaa               : 0.3224
864. jelass               : 0.3224
865. knapaa               : 0.3224
866. koruptortolong       : 0.3224
867. jawaabb              : 0.3224
868. jogetin              : 0.3224
869. adalahopini          : 0.3217
870. malas                : 0.3217
871. indefenden           : 0.3205
872. liput                : 0.3205
873. vote                 : 0.3193
874. labuh                : 0.3191
875. infrastruktur        : 0.3191
876. kmaren               : 0.3165
877. jurdil               : 0.3165
878. keren                : 0.3156
879. inisemoga            : 0.3151
880. jidayah              : 0.3151
881. kitaliat             : 0.3151
882. kudeta               : 0.3150
883. gunay                : 0.3150
884. lele                 : 0.3144
885. jagal                : 0.3136
886. lantang              : 0.3108
887. manabukti            : 0.3093
888. hitam                : 0.3068
889. kepolian             : 0.3062
890. jahat                : 0.3050
891. komplain             : 0.3042
892. keti                 : 0.3022
893. jasa                 : 0.3022
894. klompok              : 0.3003
895. hnya                 : 0.3003
896. jawab                : 0.2946
897. wkwkwkw              : 0.2946
898. mang                 : 0.2946
899. kerna                : 0.2936
900. ajafikirkn           : 0.2936
901. asing                : 0.2912
902. api                  : 0.2912
903. koreksi              : 0.2892
904. komunis              : 0.2874
905. agama                : 0.2874
906. hdeh                 : 0.2858
907. logika               : 0.2858
908. kaki                 : 0.2855
909. inget                : 0.2839
910. akademisi            : 0.2827
911. iman                 : 0.2827
912. lainbukan            : 0.2810
913. jatuh                : 0.2810
914. mahasewayang         : 0.2810
915. vido                 : 0.2796
916. ajh                  : 0.2796
917. konyol               : 0.2795
918. agak                 : 0.2795
919. alagh                : 0.2789
920. aktivis              : 0.2789
921. gus                  : 0.2776
922. larang               : 0.2772
923. lgsg                 : 0.2772
924. kertas               : 0.2771
925. kendali              : 0.2771
926. kalimantan           : 0.2762
927. jawa                 : 0.2762
928. ibukota              : 0.2762
929. lokasi               : 0.2745
930. lampiasin            : 0.2732
931. jajah                : 0.2732
932. alam                 : 0.2692
933. maksimal             : 0.2692
934. lowong               : 0.2692
935. kompak               : 0.2679
936. ketidakadilan        : 0.2679
937. klau                 : 0.2636
938. ktpgaji              : 0.2634
939. jam                  : 0.2634
940. gizi                 : 0.2620
941. kotor                : 0.2601
942. branding             : 0.2601
943. mangkas              : 0.2596
944. inisial              : 0.2596
945. kerjasama            : 0.2577
946. manut                : 0.2577
947. gtuuuuuu             : 0.2577
948. itu                  : 0.2565
949. kebawahcontoh        : 0.2565
950. krisis               : 0.2565
951. krj                  : 0.2565
952. keluargaini          : 0.2565
953. lesuskrg             : 0.2565
954. mahdi                : 0.2522
955. kedzaliman           : 0.2522
956. imam                 : 0.2522
957. haram                : 0.2464
958. hrganya              : 0.2418
959. hrg                  : 0.2418
960. libur                : 0.2410
961. kayu                 : 0.2410
962. istiqomah            : 0.2408
963. makna                : 0.2408
964. video                : 0.2308
965. ketika               : 0.2243
966. heyy                 : 0.2243
967. konoha               : 0.2243
968. jiwa                 : 0.2220
969. gelintir             : 0.2220
970. hussein              : 0.2091
971. almgusdur            : 0.2091
972. saddam               : 0.2091
973. mak                  : 0.2032
974. wajar                : 0.2032
975. khawatir             : 0.1947
976. mamah                : 0.1874
977. mama                 : 0.1874
978. woakwkkkwkw          : 0.1874
979. jajan                : 0.1874
980. ika                  : 0.1861
981. kualitas             : 0.1853
982. james                : 0.1853
983. layak                : 0.1853
984. kayk                 : 0.1853
985. lbih                 : 0.1842
986. lngsng               : 0.1842
987. hilngkan             : 0.1842
988. manipulasi           : 0.1842
989. krna                 : 0.1842
990. kaji                 : 0.1731
991. kompor               : 0.1456
992. konslet              : 0.1456
993. madam                : 0.1456
994. krena                : 0.1456
995. kondisi              : 0.1301
996. hadir                : 0.1301
997. hadap                : 0.1110
998. jerit                : 0.1110
999. kpd                  : 0.1110
1000. leluhur              : 0.1110
